key,value,Hindi,Gujarati Text,Marathi Text,Telugu Text,
confirmationMessage,Your review has been submitted,आपकी समीक्षा सबमिट हो चुकी है,તમારો રિવ્યુ સબમિટ કરવામાં આવ્યો છે,तुमचे पुनरावलोकन सबमिट झालेले आहे.,మీ సమీక్ష సమర్పించబడింది,
qrDescription,Your friends can now scan the QR code to start using this bot. Try it now!,आपके मित्र अब इस bot का उपयोग शुरू करने के लिए QR कोड को स्कैन कर सकते हैं। अभी ट्राय करें!,તમારા મિત્રો હવે આ botનો ઉપયોગ શરૂ કરવા માટે QR કોડ સ્કેન કરી શકે છે. હમણાં જ અજમાવી જુઓ!,हे bot वापरण्यासाठी तुमचे मित्र QR कोड स्कॅन करू शकतात. आता प्रयत्न करा!,ఈ bot ని ఉపయోగించడం ప్రారంభించడానికి మీ స్నేహితులు ఇప్పుడు QR కోడ్‌ని స్కాన్ చేయవచ్చు. ఇప్పుడే ప్రయత్నించండి!,
updateAppErrorDialogTitle,Please update your current application to latest version,कृपया अपने वर्तमान एप्लिकेशन को नवीनतम वर्शन में अपडेट करें,કૃપા કરીને તમારી હાલની એપ્લિકેશનને નવીનતમ વર્ઝન પર અપડેટ કરો,कृपया तुमच्या सध्याच्या अ‍ॅप्लिकेशनवर नवीनतम व्हर्जन अपडेट करा,దయచేసి మీ ప్రస్తుత అప్లికేషన్‌ను తాజా వెర్షన్‌కి అప్‌డేట్ చేయండి,
updateAppErrorDialogSubtitle,Components are not compatible with this version,घटक इस वर्शन के साथ संगत नहीं है,આ વર્ઝન SwiftChat ઘટકો સાથે સુસંગત નથી,या व्हर्जनसाठी हे Components सुसंगत नाहीत.,Components ఈ versionకు అనుకూలంగా లేవు,
updateAppErrorDialogRejectButton,Remind me later,मुझे बाद में याद दिलाना,મને પછી યાદ કરાવજો,मला नंतर आठवण करून द्या.,నాకు తర్వాత గుర్తు చేయండి,
updateAppErrorDialogAcceptButton,Update,अपडेट करें,અપડેટ કરો,अपडेट,అప్‌డేట్ చేయండి,
privacyPolicy,Privacy Policy,निजता नीति,ગોપનીયતા નીતિ,गोपनीयतेचे धोरण,గోప్యతా విధానం,
welcomeBannerButtonText,Let's Go,शुरू करें,શરૂ કરે,सुरु करा,వెళ్దాం,
gallery,Gallery,गैलरी,ગેલરી,गॅलरी,గ్యాలరీ,
verifyUpi,Verify,Verify करें,ચકાસો,पडताळणी करा.,ధృవీకరించండి,
recordVideo,Record Video,वीडियो रिकॉर्ड करें,વીડિયો રેકોર્ડ કરો,व्हिडीओ रेकॉर्ड करा,వీడియో రికార్డ్ చేయండి,
captureImage,Capture Image,चित्र कैप्चर करें,ચિત્ર કેપ્ચર કરો,फोटो काढा,చిత్రాన్ని క్యాప్చర్ చేయండి,
viewReview,View all Reviews,सभी समीक्षाएँ देखें,બધા રિવ્યુ જુઓ,सर्व पुनरावलोकन पहा.,అన్ని సమీక్షలను వీక్షించండి,
writeReview,Write Your Review,अपनी समीक्षा लिखें,તમારો રિવ્યુ લખો,तुमचे पुनरावलोकन लिहा.,మీ సమీక్షను వ్రాయండి,
botReviewTitle,Share your experience,अपना अनुभव साझा करें,તમારો અનુભવ શેર કરો,तुमचे अनुभव शेअर करा.,మీ అనుభవాన్ని పంచుకోండి,
botReviewSubtitle,Please take a moment to share reviews with others,दूसरों के साथ समीक्षा साझा करने के लिए कृपया कुछ समय दें,કૃપા કરીને અન્ય લોકો સાથે રિવ્યુ શેર કરવા માટે થોડો સમય આપો,इतरांबरोबर पुनरावलोकन शेअर करण्यासाठी कृपया थोडी प्रतीक्षा करा.,దయచేసి సమీక్షలను ఇతరులతో పంచుకోవడానికి కొంత సమయం కేటాయించండి,
